,Structure,Combination,Score_type,RMSD,Template
0,5WLH,CentroidFold+RNAComposer,iRMSD,9.658,Template-free
1,5W1I_CD,CentroidFold+RNAComposer,iRMSD,18.551,Template-free
2,5W1H,CentroidFold+RNAComposer,iRMSD,18.243,Template-free
3,5W1I_AB,CentroidFold+RNAComposer,iRMSD,15.393,Template-free
4,5WLH,CentroidFold+RNAComposer,iRMSD,25.406,Template-based
5,5W1I_CD,CentroidFold+RNAComposer,iRMSD,11.611,Template-based
6,5W1H,CentroidFold+RNAComposer,iRMSD,16.246,Template-based
7,5W1I_AB,CentroidFold+RNAComposer,iRMSD,15.077,Template-based
8,5WLH,CentroidFold+RNAComposer,LRMSD,27.066,Template-free
9,5W1I_CD,CentroidFold+RNAComposer,LRMSD,57.705,Template-free
10,5W1H,CentroidFold+RNAComposer,LRMSD,52.974,Template-free
11,5W1I_AB,CentroidFold+RNAComposer,LRMSD,46.811,Template-free
12,5WLH,CentroidFold+RNAComposer,LRMSD,73.146,Template-based
13,5W1I_CD,CentroidFold+RNAComposer,LRMSD,35.383,Template-based
14,5W1H,CentroidFold+RNAComposer,LRMSD,46.653,Template-based
15,5W1I_AB,CentroidFold+RNAComposer,LRMSD,45.904,Template-based
16,5WLH,CONTRAfold+RNAComposer,iRMSD,14.281,Template-free
17,5W1I_CD,CONTRAfold+RNAComposer,iRMSD,16.015,Template-free
18,5W1H,CONTRAfold+RNAComposer,iRMSD,13.779,Template-free
19,5W1I_AB,CONTRAfold+RNAComposer,iRMSD,13.234,Template-free
20,5WLH,CONTRAfold+RNAComposer,iRMSD,15.83,Template-based
21,5W1I_CD,CONTRAfold+RNAComposer,iRMSD,9.849,Template-based
22,5W1H,CONTRAfold+RNAComposer,iRMSD,14.579,Template-based
23,5W1I_AB,CONTRAfold+RNAComposer,iRMSD,15.213,Template-based
24,5WLH,CONTRAfold+RNAComposer,LRMSD,40.939,Template-free
25,5W1I_CD,CONTRAfold+RNAComposer,LRMSD,49.498,Template-free
26,5W1H,CONTRAfold+RNAComposer,LRMSD,39.636,Template-free
27,5W1I_AB,CONTRAfold+RNAComposer,LRMSD,40.224,Template-free
28,5WLH,CONTRAfold+RNAComposer,LRMSD,45.47,Template-based
29,5W1I_CD,CONTRAfold+RNAComposer,LRMSD,29.864,Template-based
30,5W1H,CONTRAfold+RNAComposer,LRMSD,42.397,Template-based
31,5W1I_AB,CONTRAfold+RNAComposer,LRMSD,46.28,Template-based
32,5WLH,ContextFold+RNAComposer,iRMSD,18.729,Template-free
33,5W1I_CD,ContextFold+RNAComposer,iRMSD,10.852,Template-free
34,5W1H,ContextFold+RNAComposer,iRMSD,11.945,Template-free
35,5W1I_AB,ContextFold+RNAComposer,iRMSD,11.368,Template-free
36,5WLH,ContextFold+RNAComposer,iRMSD,11.033,Template-based
37,5W1I_CD,ContextFold+RNAComposer,iRMSD,11.9,Template-based
38,5W1H,ContextFold+RNAComposer,iRMSD,17.114,Template-based
39,5W1I_AB,ContextFold+RNAComposer,iRMSD,16.037,Template-based
40,5WLH,ContextFold+RNAComposer,LRMSD,53.922,Template-free
